"prefed","action","foodtype","id","items"
"powderedpeanut","eat","peanut",1,4.5
"powderedpeanut","eat","peanut",2,1.0
"powderedpeanut","eat","peanut",3,0.0
"powderedpeanut","eat","peanut",4,3.0
"powderedpeanut","eat","suetpellet",1,14.5
"powderedpeanut","eat","suetpellet",2,3.0
"powderedpeanut","eat","suetpellet",3,10.0
"powderedpeanut","eat","suetpellet",4,2.0
"powderedpeanut","cache","peanut",1,19.5
"powderedpeanut","cache","peanut",2,8.0
"powderedpeanut","cache","peanut",3,6.0
"powderedpeanut","cache","peanut",4,9.0
"powderedpeanut","cache","suetpellet",1,23.0
"powderedpeanut","cache","suetpellet",2,12.0
"powderedpeanut","cache","suetpellet",3,12.0
"powderedpeanut","cache","suetpellet",4,6.0
"powderedsuetpellet","eat","peanut",1,9.0
"powderedsuetpellet","eat","peanut",2,6.5
"powderedsuetpellet","eat","peanut",3,4.0
"powderedsuetpellet","eat","peanut",4,5.0
"powderedsuetpellet","eat","suetpellet",1,4.5
"powderedsuetpellet","eat","suetpellet",2,2.0
"powderedsuetpellet","eat","suetpellet",3,3.0
"powderedsuetpellet","eat","suetpellet",4,2.0
"powderedsuetpellet","cache","peanut",1,19.0
"powderedsuetpellet","cache","peanut",2,8.0
"powderedsuetpellet","cache","peanut",3,4.0
"powderedsuetpellet","cache","peanut",4,6.0
"powderedsuetpellet","cache","suetpellet",1,14.0
"powderedsuetpellet","cache","suetpellet",2,2.0
"powderedsuetpellet","cache","suetpellet",3,4.0
"powderedsuetpellet","cache","suetpellet",4,2.0
