group,foodtype,action,RI,trial,set,μ,sem,firstinspection,n
degrade,peanut,inspect,4,pm,1,,,0.0,8
degrade,peanut,inspect,4,pm,2,,,0.125,8
degrade,peanut,inspect,4,pm,3,,,0.0,6
degrade,peanut,inspect,4,pm,4,,,0.16666666666666666,6
degrade,peanut,inspect,4,pc,1,,,0.25,8
degrade,peanut,inspect,4,pc,2,,,0.125,8
degrade,peanut,inspect,4,pc,3,,,0.16666666666666666,6
degrade,peanut,inspect,4,pc,4,,,0.0,6
degrade,peanut,inspect,28,pm,1,,,0.14285714285714285,7
degrade,peanut,inspect,28,pm,2,,,0.42857142857142855,7
degrade,peanut,inspect,28,pm,3,,,0.8333333333333334,6
degrade,peanut,inspect,28,pm,4,,,0.875,8
degrade,peanut,inspect,28,pc,1,,,0.14285714285714285,7
degrade,peanut,inspect,28,pc,2,,,0.2857142857142857,7
degrade,peanut,inspect,28,pc,3,,,0.16666666666666666,6
degrade,peanut,inspect,28,pc,4,,,0.25,8
degrade,peanut,inspect,100,pm,1,,,0.4,5
degrade,peanut,inspect,100,pm,2,,,0.5,6
degrade,peanut,inspect,100,pm,3,,,1.0,5
degrade,peanut,inspect,100,pm,4,,,0.8571428571428571,7
degrade,peanut,inspect,100,pc,1,,,0.4,5
degrade,peanut,inspect,100,pc,2,,,0.3333333333333333,6
degrade,peanut,inspect,100,pc,3,,,1.0,5
degrade,peanut,inspect,100,pc,4,,,1.0,7
replenish,peanut,inspect,4,pm,1,,,0.125,8
replenish,peanut,inspect,4,pm,2,,,0.14285714285714285,7
replenish,peanut,inspect,4,pm,3,,,0.125,8
replenish,peanut,inspect,4,pm,4,,,0.125,8
replenish,peanut,inspect,4,pc,1,,,0.25,8
replenish,peanut,inspect,4,pc,2,,,0.14285714285714285,7
replenish,peanut,inspect,4,pc,3,,,0.25,8
replenish,peanut,inspect,4,pc,4,,,0.0,8
replenish,peanut,inspect,28,pm,1,,,0.375,8
replenish,peanut,inspect,28,pm,2,,,0.0,7
replenish,peanut,inspect,28,pm,3,,,0.16666666666666666,6
replenish,peanut,inspect,28,pm,4,,,0.125,8
replenish,peanut,inspect,28,pc,1,,,0.25,8
replenish,peanut,inspect,28,pc,2,,,0.2857142857142857,7
replenish,peanut,inspect,28,pc,3,,,0.16666666666666666,6
replenish,peanut,inspect,28,pc,4,,,0.125,8
replenish,peanut,inspect,100,pm,1,,,0.3333333333333333,6
replenish,peanut,inspect,100,pm,2,,,0.25,8
replenish,peanut,inspect,100,pm,3,,,0.16666666666666666,6
replenish,peanut,inspect,100,pm,4,,,0.0,8
replenish,peanut,inspect,100,pc,1,,,0.16666666666666666,6
replenish,peanut,inspect,100,pc,2,,,0.25,8
replenish,peanut,inspect,100,pc,3,,,0.16666666666666666,6
replenish,peanut,inspect,100,pc,4,,,0.125,8
degrade,peanut,inspect,4,pm,5,6.6,1.0,0.0,7
degrade,other,inspect,4,pm,5,10.0,1.2,1.0,7
degrade,peanut,inspect,4,pc,5,6.8,1.0,0.14285714285714285,7
degrade,other,inspect,4,pc,5,10.5,1.4,0.8571428571428571,7
replenish,peanut,inspect,4,pm,5,7.0,1.0,0.0,8
replenish,other,inspect,4,pm,5,7.8,1.5,1.0,8
replenish,peanut,inspect,4,pc,5,6.8,1.0,0.25,8
replenish,other,inspect,4,pc,5,8.6,1.3,0.75,8
degrade,peanut,inspect,28,pm,5,8.0,1.7,0.8333333333333334,6
degrade,other,inspect,28,pm,5,6.3,1.0,0.16666666666666666,6
degrade,peanut,inspect,28,pc,5,8.0,2.0,0.16666666666666666,6
degrade,other,inspect,28,pc,5,7.6,1.4,0.8333333333333334,6
replenish,peanut,inspect,28,pm,5,7.4,1.1,0.14285714285714285,7
replenish,other,inspect,28,pm,5,7.7,1.2,0.8571428571428571,7
replenish,peanut,inspect,28,pc,5,5.5,0.8,0.0,7
replenish,other,inspect,28,pc,5,7.7,1.0,1.0,7
degrade,peanut,inspect,100,pm,5,8.2,1.7,1.0,7
degrade,other,inspect,100,pm,5,6.0,1.2,0.0,7
degrade,peanut,inspect,100,pc,5,8.3,0.6,0.8571428571428571,7
degrade,other,inspect,100,pc,5,5.7,0.7,0.14285714285714285,7
replenish,peanut,inspect,100,pm,5,6.5,1.0,0.0,7
replenish,other,inspect,100,pm,5,8.7,0.9,1.0,7
replenish,peanut,inspect,100,pc,5,7.3,1.6,0.14285714285714285,7
replenish,other,inspect,100,pc,5,9.5,1.8,0.8571428571428571,7
replenish,,cache,,,5,7.8,,,
degrade,,cache,,,5,7.3,,,
