group,foodtype,action,RI,μ,sem,firstinspection,n
degrade,mealworm,cache,,18.5,3.7,,16
replenish,mealworm,cache,,7.1,1.9,,16
degrade,peanut,cache,,12.1,3.8,,16
replenish,peanut,cache,,12.6,2.1,,16
degrade,peanut,inspect,4,4.3,1.2,.375,8
degrade,mealworm,inspect,4,9,2.4,.625,8
degrade,peanut,inspect,28,8.25,2,.75,8
degrade,mealworm,inspect,28,3,.9,.25,8
replenish,peanut,inspect,4,4,.8,.125,8
replenish,mealworm,inspect,4,5.4,.7,.875,8
replenish,peanut,inspect,28,6.5,1.2,.125,8
replenish,mealworm,inspect,28,6.2,1.4,.875,8
