group,foodtype,action,condition,RI,μ,sem,firstinspection,n
degrade,peanut,inspect,consistent,28,5.,1.5,.25,4
degrade,cricket,inspect,consistent,28,8.25,2.,.75,4
degrade,peanut,inspect,reversed,28,5.75,1.,0.,4
degrade,cricket,inspect,reversed,28,8.25,.75,1.,4
degrade,peanut,inspect,consistent,76,4.25,.6,0.,4
degrade,cricket,inspect,consistent,76,7.75,1.5,1.,4
degrade,peanut,inspect,reversed,76,9.25,1.25,1.,4
degrade,cricket,inspect,reversed,76,4.75,1.5,0.,4
replenish,peanut,inspect,consistent,28,3.5,.75,.25,4
replenish,cricket,inspect,consistent,28,8.75,1.25,.75,4
replenish,peanut,inspect,reversed,28,11,1.,.666666666,3
replenish,cricket,inspect,reversed,28,6,1.5,.3333333333,3
replenish,peanut,inspect,consistent,76,7.5,1,0,4
replenish,cricket,inspect,consistent,76,11.5,.75,1.,4
replenish,peanut,inspect,reversed,76,8,1.1,.33333333333,3
replenish,cricket,inspect,reversed,76,7.75,.25,.6666666666,3
replenish,peanut,inspect,consistent,124,5,1.6,0,4
replenish,cricket,inspect,consistent,124,8.75,2.,1.,4
replenish,peanut,inspect,reversed,124,7.75,2.25,1,4
replenish,cricket,inspect,reversed,124,1.75,.25,0,4
degrade,peanut,cache,,,9.9,2.8,,40
degrade,cricket,cache,,,7,1,,40
replenish,peanut,cache,,,11.1,3.1,,40
replenish,cricket,cache,,,6.5,1.4,,40
