group,trial,RI,action,foodtype,μ,sem,firstinspection,n
degrade,1,,cache,peanut,12.6992,1.4901999999999997,,16
degrade,2,,cache,peanut,7.2351,1.8039999999999994,,16
degrade,3,,cache,peanut,6.2224,1.8040000000000003,,16
degrade,4,,cache,peanut,5.3271,1.1569000000000003,,16
degrade,1,,cache,waxworm,9.6992,1.333400000000001,,16
degrade,2,,cache,waxworm,15.2351,1.804000000000002,,16
degrade,3,,cache,waxworm,14.7714,1.686399999999999,,16
degrade,4,,cache,waxworm,11.7975,1.059000000000001,,16
replenish,1,,cache,peanut,9.4402,1.0448999999999984,,16
replenish,2,,cache,peanut,11.3067,2.9572000000000003,,16
replenish,3,,cache,peanut,7.9881,1.6759999999999993,,16
replenish,4,,cache,peanut,12.3387,1.6169000000000011,,16
replenish,1,,cache,waxworm,10.1892,0.9070999999999998,,16
replenish,2,,cache,waxworm,9.6306,2.9377000000000013,,16
replenish,3,,cache,waxworm,10.8074,1.5576000000000008,,16
replenish,4,,cache,waxworm,10.8008,1.991299999999999,,16
pilfer,1,,cache,waxworm,11.5528,2.026,,16
pilfer,2,,cache,waxworm,13.7459,2.816799999999999,,16
pilfer,3,,cache,waxworm,10.7298,2.0258000000000003,,16
pilfer,4,,cache,waxworm,12.5948,2.8168000000000006,,16
pilfer,1,,cache,peanut,10.9164,2.1221000000000014,,16
pilfer,2,,cache,peanut,10.8906,2.8361,,16
pilfer,3,,cache,peanut,6.582,1.9872000000000005,,16
pilfer,4,,cache,peanut,12.7298,2.8168000000000006,,16
degrade,1,4,inspect,waxworm,8.9636,0.6693999999999996,,8
degrade,2,4,inspect,waxworm,7.0944,1.4924,,8
degrade,3,4,inspect,waxworm,3.6011,0.8778000000000001,,8
degrade,4,4,inspect,waxworm,3.5864,0.9986000000000002,,8
degrade,1,4,inspect,peanut,5.3203,0.7023000000000001,,8
degrade,2,4,inspect,peanut,3.1438,1.4485999999999994,,8
degrade,3,4,inspect,peanut,1.6806,0.8778999999999999,,8
degrade,4,4,inspect,peanut,2.5987,0.8231000000000002,,8
replenish,1,4,inspect,waxworm,6.767,0.8159000000000001,,8
replenish,2,4,inspect,waxworm,6.2155,1.7111,,8
replenish,3,4,inspect,waxworm,2.6272,0.7931999999999997,,8
replenish,4,4,inspect,waxworm,4.478,0.8839000000000006,,8
replenish,1,4,inspect,peanut,4.5574,0.8838999999999997,,8
replenish,2,4,inspect,peanut,4.3118,1.6771000000000003,,8
replenish,3,4,inspect,peanut,2.0833,0.8498999999999999,,8
replenish,4,4,inspect,peanut,2.2231,0.8952,,8
pilfer,1,4,inspect,waxworm,8.2641,1.1004000000000005,,7
pilfer,2,4,inspect,waxworm,6.7235,1.5076,,7
pilfer,3,4,inspect,waxworm,4.6217,1.3315000000000001,,7
pilfer,4,4,inspect,waxworm,2.564,1.2104,,7
pilfer,1,4,inspect,peanut,5.1939,1.1994999999999996,,7
pilfer,2,4,inspect,peanut,4.0715,1.5515999999999996,,7
pilfer,3,4,inspect,peanut,2.4319,1.2874999999999996,,7
pilfer,4,4,inspect,peanut,3.4003,1.1663999999999999,,7
degrade,1,124,inspect,waxworm,4.6129,0.7114000000000003,,8
degrade,2,124,inspect,waxworm,1.6289,0.8316999999999999,,8
degrade,3,124,inspect,waxworm,0.8117,0.4597000000000001,,8
degrade,4,124,inspect,waxworm,0.6731,0.5690999999999999,,8
degrade,1,124,inspect,peanut,4.7005,0.7222999999999997,,8
degrade,2,124,inspect,peanut,3.5878,0.9083999999999999,,8
degrade,3,124,inspect,peanut,4.2481,0.4924999999999997,,8
degrade,4,124,inspect,peanut,3.4748,0.6894,,8
replenish,1,124,inspect,waxworm,5.7508,0.8725000000000005,,8
replenish,2,124,inspect,waxworm,4.474,0.7932999999999995,,8
replenish,3,124,inspect,waxworm,3.7639,0.45330000000000004,,8
replenish,4,124,inspect,waxworm,6.8613,0.9291,,8
replenish,1,124,inspect,peanut,4.9576,0.9405000000000001,,8
replenish,2,124,inspect,peanut,2.3324,0.8159000000000001,,8
replenish,3,124,inspect,peanut,2.3589,0.4758,,8
replenish,4,124,inspect,peanut,4.017,0.9518999999999993,,8
pilfer,1,124,inspect,waxworm,5.4857,0.8033000000000001,,7
pilfer,2,124,inspect,waxworm,4.9831,0.7153999999999998,,7
pilfer,3,124,inspect,waxworm,3.8534,1.1553999999999998,,7
pilfer,4,124,inspect,waxworm,4.6713,1.3096000000000005,,7
pilfer,1,124,inspect,peanut,5.1776,0.8693,,7
pilfer,2,124,inspect,peanut,4.543,0.7153,,7
pilfer,3,124,inspect,peanut,4.2715,1.1555,,7
pilfer,4,124,inspect,peanut,5.7938,1.2214999999999998,,7
degrade,5,4,inspect,peanut,4.25,1.2,0.17,6
degrade,5,4,inspect,waxworm,6.7,1.1,0.83,6
degrade,5,124,inspect,peanut,5.3,0.5,1.,6
degrade,5,124,inspect,waxworm,1.1,0.5,0.,6
replenish,5,4,inspect,peanut,2.1,0.1,0.,7
replenish,5,4,inspect,waxworm,6.4,0.1,1.,7
replenish,5,124,inspect,peanut,3.,0.6,0.,7
replenish,5,124,inspect,waxworm,6.8,0.6,1.,7
pilfer,5,4,inspect,peanut,3.,1.,0.29,7
pilfer,5,4,inspect,waxworm,5.9,1.0,0.71,7
pilfer,5,124,inspect,peanut,3.7,0.7,0.29,7
pilfer,5,124,inspect,waxworm,4.7,0.7,0.71,7
,5,,cache,waxworm,16.5,1.9,,40
,5,,cache,peanut,9.5,1.8,,40
