group,trial,order,action,foodtype,μ,sem,firstinspection,n
degrade,train,pw,inspect,peanut,4.6,0.7,0.2,5
degrade,train,wp,inspect,peanut,6.33,0.6,0.6,5
degrade,train,pw,inspect,waxworm,5.8,0.8,0.8,5
degrade,train,wp,inspect,waxworm,2.6,0.5,0.4,5
replenish,train,pw,inspect,peanut,4.2,1.5,0.2,7
replenish,train,wp,inspect,peanut,4.6,0.9,0.2,7
replenish,train,pw,inspect,waxworm,7.4,1.5,0.8,7
replenish,train,wp,inspect,waxworm,5.6,1.0,0.8,7
pilfer,train,pw,inspect,peanut,3,1.1,0.29,7
pilfer,train,wp,inspect,peanut,3.8,1.0,0.14,7
pilfer,train,pw,inspect,waxworm,5,1,0.71,7
pilfer,train,wp,inspect,waxworm,4.5,0.9,0.86,7
degrade,test,pw,inspect,peanut,5,1.6,0.4,5
degrade,test,wp,inspect,peanut,7.75,0.25,1.0,5
degrade,test,pw,inspect,waxworm,7.3,1.7,0.8,5
degrade,test,wp,inspect,waxworm,2.5,0.3,0.0,5
replenish,test,pw,inspect,peanut,4.75,4.0,0.0,6
replenish,test,wp,inspect,peanut,4.4,3.0,0.0,6
replenish,test,pw,inspect,waxworm,11.6,1.8,1.0,6
replenish,test,wp,inspect,waxworm,7.3,1.1,1.0,6
pilfer,test,pw,inspect,peanut,6.9,1.3,0.0,6
pilfer,test,wp,inspect,peanut,5.5,3.1,.29,6
pilfer,test,pw,inspect,waxworm,10.6,1.3,1.0,6
pilfer,test,wp,inspect,waxworm,6.6,3.0,.71,6
degrade,train,,cache,peanut,2.1,0.3,,5
replenish,train,,cache,peanut,7.6,2.0,,7
pilfer,train,,cache,peanut,9.9,1.5,,7
,train,,cache,waxworm,5.5,0.9,,19
degrade,test,,cache,peanut,2.6,0.8,,5
degrade,test,,cache,waxworm,7.9,3.2,,5
replenish,test,,cache,peanut,6.4,1.6,,6
replenish,test,,cache,waxworm,7.8,3.1,,6
pilfer,test,,cache,peanut,9.8,3.8,,6
pilfer,test,,cache,waxworm,6.3,1.7,,6
