group,action,set,RI,μ,sem,firstinspection,n
degrade,inspect,1,4,.53,.15,,5
degrade,inspect,2,4,.7,.06,,5
degrade,inspect,3,4,.8,.04,,5
degrade,inspect,4,4,.74,.12,,5
degrade,inspect,5,4,.77,.08,,5
degrade,inspect,6,4,.89,.04,,5
degrade,inspect,7,4,.92,.05,,5
degrade,inspect,8,4,.83,.05,1.,5
degrade,inspect,1,28,.42,.08,,5
degrade,inspect,2,28,.25,.08,,5
degrade,inspect,3,28,.42,.12,,5
degrade,inspect,4,28,.37,.1,,5
degrade,inspect,5,28,.47,.08,,5
degrade,inspect,6,28,.37,.12,,5
degrade,inspect,7,28,.4,.07,,5
degrade,inspect,8,28,.38,.1,.2,5
ripen,inspect,1,4,.69,.09,,7
ripen,inspect,2,4,.52,.08,,7
ripen,inspect,3,4,.46,.11,,7
ripen,inspect,4,4,.54,.06,,7
ripen,inspect,5,4,.41,.05,,7
ripen,inspect,6,4,.27,.04,,7
ripen,inspect,7,4,.45,.06,,7
ripen,inspect,8,4,.21,.07,.16,7
ripen,inspect,1,28,.77,.08,,7
ripen,inspect,2,28,.81,.06,,7
ripen,inspect,3,28,.7,.09,,7
ripen,inspect,4,28,.64,.11,,7
ripen,inspect,5,28,.68,.11,,7
ripen,inspect,6,28,.67,.08,,7
ripen,inspect,7,28,.68,.08,,7
ripen,inspect,8,28,.8,.07,.83,7
