"exp","tray",action,"trial","μ","sem",n
"a","degrade",cache,1,7.3673,1.327399999999999,10
"a","replenish",cache,1,7.0022,1.1946999999999992,10
"a","degrade",cache,2,7.1018,2.2898000000000005,10
"a","replenish",cache,2,8.927,2.9535,10
"a","degrade",cache,3,3.4181,1.6261,10
"a","replenish",cache,3,6.7367,1.7588999999999997,10
"a","degrade",cache,4,2.6491,1.2588000000000004,10
"a","replenish",cache,4,7.4336,1.7651000000000003,10
"a","degrade",cache,5,3.6504,1.7921,10
"a","replenish",cache,5,13.6062,3.584100000000001,10
"a","degrade",cache,6,3.5543,1.3572000000000002,10
"a","replenish",cache,6,13.2743,3.6173,10
"b","pilfer",cache,1,5.6106,1.6006,8
"b","replenish",cache,1,4.835,1.2870999999999997,8
"b","pilfer",cache,2,2.7393,1.1881,8
"b","replenish",cache,2,4.8515,1.5841000000000003,8
"b","pilfer",cache,3,0.9736,0.46199999999999997,8
"b","replenish",cache,3,7.2937,1.7161999999999997,8
"b","pilfer",cache,4,1.6337,0.8911,8
"b","replenish",cache,4,8.1023,2.5412999999999997,8
