"tray","trial",action,"μ","sem",n
"period1",1,cache,12.2293,2.7388999999999992,7
"period2",1,cache,5.6421,1.479,7
"period1",2,cache,7.2611,1.8950000000000005,7
"period2",2,cache,2.2465,1.1452,7
"period1",3,cache,7.2611,2.0881999999999996,7
"period2",3,cache,2.0102,1.5722999999999998,7
"period1",4,cache,8.8217,2.7546999999999997,7
"period2",4,cache,4.252,1.8944999999999999,7
"period1",5,cache,6.9427,1.8789999999999996,7
"period2",5,cache,4.2357,1.5446000000000009,7
"period1",6,cache,5.6369,2.5760999999999994,7
"period2",6,cache,4.8312,1.2701000000000002,7
"period1",7,cache,8.5032,1.814400000000001,7
"period2",7,cache,4.9666,1.1958000000000002,7
"period1",8,cache,6.9108,1.8666999999999998,7
"period2",8,cache,6.4331,1.2421000000000006,7
"period1",9,cache,6.9427,2.0076,7
"period2",9,cache,10.0092,2.3606999999999996,7
"period1",10,cache,2.3248,0.9394999999999998,7
"period2",10,cache,8.3917,2.0382,7
